"Date","Price","Open","High","Low","Vol.","Change %"
"04/23/2018","88,072","88,403","88,442","87,825","","-0.32%"
"04/20/2018","88,358","88,676","88,919","88,281","","-0.27%"
"04/19/2018","88,594","88,681","89,088","88,227","","-0.05%"
"04/18/2018","88,638","88,506","89,028","88,121","","0.21%"
"04/17/2018","88,452","88,111","88,536","87,812","","0.42%"
"04/16/2018","88,079","87,742","88,419","87,446","","0.36%"
"04/13/2018","87,762","87,193","87,920","87,086","","0.71%"
"04/12/2018","87,147","88,276","88,477","87,080","","-1.29%"
"04/11/2018","88,284","87,013","89,104","86,999","","1.52%"
"04/10/2018","86,961","86,804","87,228","86,426","","0.23%"
"04/09/2018","86,765","86,565","86,920","86,273","","0.27%"
"04/06/2018","86,531","86,090","86,693","85,848","","0.57%"
"04/05/2018","86,041","86,707","86,842","85,878","","-0.76%"
"04/04/2018","86,696","86,638","87,784","86,544","","0.12%"
"04/03/2018","86,596","87,331","87,448","86,393","","-0.83%"
"04/02/2018","87,323","86,356","87,601","86,261","","1.30%"
"03/30/2018","86,206","86,277","86,277","86,277","","0.00%"
"03/29/2018","86,206","86,337","86,568","86,059","","-0.10%"
"03/28/2018","86,295","87,399","87,496","86,234","","-1.15%"
"03/27/2018","87,299","87,741","87,908","87,068","","-0.46%"
"03/26/2018","87,705","87,600","87,968","87,193","","0.22%"
"03/23/2018","87,512","86,546","87,767","86,524","","1.18%"
"03/22/2018","86,491","86,831","87,016","86,247","","-0.35%"
"03/21/2018","86,793","85,511","87,132","85,451","","1.55%"
"03/20/2018","85,465","85,878","85,991","85,218","","-0.45%"
"03/19/2018","85,853","85,393","86,081","85,060","","0.63%"
"03/16/2018","85,319","85,563","85,855","85,043","","-0.22%"
"03/15/2018","85,505","85,888","86,264","85,400","","-0.43%"
"03/14/2018","85,874","86,027","86,445","85,692","","-0.14%"
"03/13/2018","85,992","85,978","86,168","85,391","","0.05%"
"03/12/2018","85,946","86,206","86,259","85,539","","-0.29%"
"03/09/2018","86,195","86,066","86,312","85,591","","0.21%"
"03/08/2018","86,015","86,005","86,423","85,873","","0.06%"
"03/07/2018","85,964","86,633","87,013","85,760","","-0.73%"
"03/06/2018","86,595","85,856","86,923","85,831","","0.89%"
"03/05/2018","85,830","86,337","86,529","85,686","","-0.45%"
"03/02/2018","86,219","85,938","86,492","85,785","","0.41%"
"03/01/2018","85,870","85,957","86,179","84,907","","-0.05%"
"02/28/2018","85,917","85,561","86,261","85,408","","0.41%"
"02/27/2018","85,565","86,338","86,654","85,179","","-0.88%"
